section,cluster,id,address,longitude_x,latitude_y,assignment,datebegin,city,state,dateend
W,601,W-110601,943 BELMONT AVE,-75.2114276045351,39.9709610847,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
W,601,W-110601,940 N 43RD ST,-75.2105737032112,39.9709220676837,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
NNE,16,NNE-040016,924 W AUBURN ST,-75.14630010863929,39.9950865513181,Green,4/19/2013,Philadelphia,PA,4/15/2015
W,495,W-230495,924 S CECIL ST,-75.23938635397801,39.9467498823346,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
NNE,16,NNE-040016,922 W AUBURN ST,-75.1462531767456,39.9950804970691,Green,4/19/2013,Philadelphia,PA,4/15/2015
NNE,16,NNE-040016,920 W AUBURN ST,-75.1462070410584,39.9950744349588,Green,4/19/2013,Philadelphia,PA,4/15/2015
NNE,16,NNE-040016,918 W AUBURN ST,-75.1461611486738,39.995068892976,Green,4/19/2013,Philadelphia,PA,4/15/2015
NNE,16,NNE-040016,916 W AUBURN ST,-75.1461150466684,39.9950631005478,Green,4/19/2013,Philadelphia,PA,4/15/2015
NNE,16,NNE-040016,914 W AUBURN ST,-75.1460687605433,39.9950573596767,Green,4/19/2013,Philadelphia,PA,4/15/2015
NNE,16,NNE-040016,912 W AUBURN ST,-75.14602315068301,39.9950517988274,Green,4/19/2013,Philadelphia,PA,4/15/2015
W,751,W-170751,880 N 49TH ST,-75.2189896216626,39.9680751764546,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
W,751,W-170751,878 N 49TH ST,-75.21898502748409,39.9680338510234,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
W,751,W-170751,874 N 49TH ST,-75.2189727978915,39.9679525674648,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
W,456,W-220456,873 BUDD ST,-75.2050945697505,39.9700232580709,Green,4/20/2013,Philadelphia,PA,4/15/2015
W,751,W-170751,872 N 49TH ST,-75.2189672815461,39.9679120861176,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
W,456,W-220456,871 BUDD ST,-75.2050841876414,39.9699683264279,Green,4/20/2013,Philadelphia,PA,4/15/2015
W,699,W-160699,843 N 63RD ST,-75.2456185458263,39.9778634002056,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,846,W-250846,728 N 42ND ST,-75.2076718067929,39.965458807736,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,846,W-250846,726 N 42ND ST,-75.2076638526313,39.9654163809509,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,846,W-250846,724 N 42ND ST,-75.20765678885969,39.9653738066793,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,846,W-250846,722 N 42ND ST,-75.2076482500924,39.9653308195491,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,846,W-250846,720 N 42ND ST,-75.20764048517169,39.965288513786,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,846,W-250846,718 N 42ND ST,-75.2076328374808,39.9652463672428,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,581,W-270581,7025 UPLAND ST,-75.24425338664049,39.9217784502643,Green,4/17/2013,Philadelphia,PA,4/15/2015
